eni	Ente Nazionale Idrocarburi, Italy
ent	Geological Survey and Mines Department, Entebbe, Uganda
ept	Kidd Seismological Observatory, University of Texas, El Paso, USA
erc	Centro Ettore Majorana, Erice, Italy
erij	Earthquake Research Institute, Univ. of Tokyo, Japan
euo	Department of Geological Sciences, University of Oregon, Eugene, USA
ew	ShakeAlert&circledR Earthquake Early Warning System (USGS and university partners)
exp	Explosion parameters from any group other than DOE or predecessors
fbb	Geologisches Landesamt Baden-Wuerttemberg (LEDBW), Freiburg, Germany
fdf	IPG Observatoire Geophysique, St. Pierre, Martinique
fir	Universita Degli Studi di Firenze, Firenze, Italy
flag	Arizona Earthquake Information Center, Flagstaff, USA
fnet	F-net Broadband Seismograph Network, University of Tokyo, Japan
fog	Osservatorio V. Nigri, Foggia, Italy
fur	Geophysikalisches Obs. der Univ. Muenchen, Fuerstenfeldbruck, Germany
gar	Complex Seismological Expedition, Garm, Tajikistan
gbzt	TUBITAK, Marmara Research Center, Gebze, Turkey
gcg	INSIVUMEH, Guatemala City, Guatemala
gcmt	Lamont-Doherty Earth Observatory Global CMT project, New York, USA
gen	Dipart. Studio del Territorio e Risorse, Universita di Genova, Italy
geot	Teledyne Geotech Corporation, Garland, Texas, USA
gfu	Geofyzikalni ustav Akademie vid Ceske republiky, Praha, Czech Republic
gfz	GeoForschungsZentrum Potsdam, Telegrafenberg, Potsdam, Germany
gia	Geophysical Institute, Univ. of Alaska, Fairbanks, USA
gii	Geophysical Institute of Israel, Lod, Israel
gol	Geophysics Department, Colorado School of Mines, Golden, USA
gom	Observatoire Volcanologique de Goma, Goma, Dem. Republic of the Congo
grc	Observatoire Sismologique, Garchy, France
grf	BGR, Zentralobservatorium Graefenberg, Erlangen, Germany
grn	Lab. de Geophysique Interne et de Tectonophysique, Grenoble, France
gsdm	Geological Survey Department of Malawi, Zomba, Malawi
guc	Departamento de Geofisica, Universidad de Chile, Santiago
guv	CVG Electrificacion del Caroni (EDELCA) Guri, Venezuela
hacu	Hacettepe University, Ankara, Turkey
hdc	Universidad Nacional, Campus Omar Dengo, Heredia, Costa Rica
hel	Seismologian Laitos, Helsingin Yliopisto, Helsinki, Finland
hfs	The Swedish Defence Research Agency, FOI, Stockholm, Sweden
hig	Hawaii Institute of Geophysics, Honolulu, USA
hkc	Hong Kong Observatory, Kowloon, Hong Kong, China
hkt	University of Texas Marine Science Institute, Galveston, USA (now ATX)
hlw	National Research Inst. of Astronomy and Geophysics, Helwan, Egypt
hnr	Ministry of Natural Resources, Honiara, Solomon Islands
hon	NOAA, Pacific Tsunami Warning Center, Honolulu, Hawaii
hrs	Earthquake and Volcano Observatory, Hirosaki University, Japan
hrv	Harvard University, Cambridge, Massachusetts
hss	Inst. of Seismology and Volcanology, Hokkaido Univ., Sapporo, Japan
hv	Hawaiian Volcano Observatory
hyb	National Geophysical Research Institute, Hyderabad, India
ice	Instituto Costariccense de Electricidad, San Jose, Costa Rica
idc	Internation Data Center
igil	Inst. Geofisico do Infante D. Luis, Univ. de Lisboa, Lisbon, Portugal
iim	Instituto de Ingenieria, UNAM, Mexico City, Mexico
indr	Inst. Nac. de Recursos Hidraulicos, Santo Domingo, Dominican Rep.
inel	Idaho Nat. Engineering and Environmental Laboratory, Idaho Falls, USA
inet	Instituto Nicaraguense de Estudios Territoriales, Managua, Nicaragua
inmg	Instituto de Meteorologia, Lisbon, Portugal
inpp	Ignalina Nuclear Power Plant, Ignalina, Lithuania
intv	INTEVEP, Caracas, Venezuela
iny	Cornell University, Ithaca, New York, USA
ipec	Ustav fyziky Zeme, Masaryk University, Brno, Czech Republic
irsa	Institutul Roman de Seismologie Aplicata, Bucharest, Romania
isc	International Seismological Centre, UK
iscgem	ISC-GEM
isk	Kandilli Observatory & Earthquake Research Inst., Istanbul, Turkey
ismp	USGS Induced Seismicity Project
ist	Istanbul Technical University, Maslak, Istanbul, Turkey
istp	Instituto Superior Tecnico, Lisbon, Portugal
jck	Geologisches Landesamt Nordrhein-Westfalen, Krefeld, Germany
jen	Inst. fuer Geowissenschaften, Friedrich-Schiller-Univ., Jena, Germany
jhi	Regional Research Laboratory, Jorhat, India
jma	Japan Meteorological Agency, Tokyo, Japan
jrq	Centro de Geociencias, UNAM, Queretaro, Mexico
jsn	University of the West Indies, Mona, Jamaica
jso	Jordan Seismological Observatory, Amman
kazk	Seismological Institute, Kazakhstan Academy of Sciences, Almaty
kbc	Institut de Recherches Geologiques et Minieres, Ekona, Cameroon
kgs	Kansas Geological Survey, University of Kansas, Lawrence, USA
kisr	Kuwait Institute for Scientific Research, Safat, Kuwait
klm	Malaysian Meteorological Department, Petaling Jaya, Selangor, Malaysia
knet	Kyrgyz Broadband Seismic Network, La Jolla, Calif. and Kyrgyzstan
kors	GSRAS, Kola Regional Seismological Center, Apatity, Russia
kowa	Ecole Nationale d'Ingenieurs, Departement de Geologie, Bamako, Mali
krsc	GSRAS, Kamchatka Regional Seismo. Center, Petropavlovsk, Russia
krw	Geophysikalisches Institut, Karlsruhe, Germany
krym	Crimean Geophysical Institute, Ukraine Academy of Science, Ukraine
kuk	Ghana Geological Survey Department, Accra, Ghana
kyrg	Institute of Seismology, Kyrgyzstan Academy of Sciences, Bishkek
kyt	Faculty of Science, Kyoto University, Japan
lasa	Large Aperture Seismic Array, Billings, Montana (closed)
lbtb	Geological Survey of Botswana, Lobatse, Botswana
ld	Lamont-Doherty Cooperative Seismographic Network
ldg	CEA Lab. de Detection et de Geophysique, Bruyeres-le-Chatel, France
ldn	University of Western Ontario, London, Ontario, Canada
ldsn	Libyan Center for Remote Sensing and Space Science, Tripoli, Libya
lei	Institut fuer Geophysik und Geologie, Universitaet Leipzig, Germany
lgs	Lithuanian Geological Survey, Vilnius, Lithuania
lic	Station Geophysique de Lamto, N'Douci, Cote d'Ivoire
lim	Instituto Geofisico del Peru, Lima, Peru
ljc	Inst. of Geop. and Planet. Phys., UC San Diego, La Jolla, Calif, USA
lju	ARSO, Urad za seizmologijo, Ljubljana, Slovenia
lli	Instituto Internazionale di Vulcanologia--CNR, Catania, Italy
lmm	Servico Meteorologico de Mocambique, Maputo, Mozambique (closed)
loa	Los Alamos Scientific Laboratories, Los Alamos, New Mexico, USA
lpa	Observatorio Astronomico, Univ. Nacional de La Plata, Argentina
lpz	Observatorio San Calixto, La Paz, Bolivia
lsz	Geological Survey Department, Lusaka, Zambia
lub	Texas Tech University, Lubbock, USA
lvm	Lawrence Livermore National Laboratory, Livermore, California, USA
lvv	Carpathian Seismo. Dept., Ukraine Academy of Science, Lviv, Ukraine
lwi	Departement de Geophysique, Lwiro, Democratic Republic of the Congo
macro	Macroseismic location
mb	Montana Bureau of Mines and Geology
mbo	Institut de Recherche pour le Developpement, M'Bour, Senegal
mdd	Instituto Geografico Nacional, Madrid, Spain
mel	Seismology Research Centre, Melbourne, Australia
meri	Maharashtra Engineering Research Institute, Nashik, India
mes	Instituto Geofisico e Geodetico, Messina, Italy
mhi	Seismological Observatory, Mashhad, Iran
mnlo	USGS National Center for Earthquake Research, Menlo Park, Calif, USA
mnm	University of Minnesota, Minneapolis, USA
mold	Institute of Geophysics and Geology, Chisinau, Moldova
mrb	Institut Cartografic de Catalunya (ICC), Barcelona, Spain
msco	Mesa State College, Grand Junction, Colorado, USA
msku	Universite des Sciences et Techniques de Masuku, Franceville, Gabon
mso	University of Montana, Missoula, USA
mtat	Mineral Research and Exploration Institute (MTA), Ankara, Turkey
mui	Geophysics Department, Ferdowsi University, Mashhad, Iran
mvov	Montserrat Volcano Observatory, Mango Hill, Montserrat
nai	Geology Department, University of Nairobi, Nairobi, Kenya
nao	NTNF/NORSAR, Kjeller, Norway
nars	NARS network, University of Utrecht, The Netherlands
nasc	National Antarctic Scientific Center of Ukraine, Kiev, Ukraine
nat	Departamento de Fisica Teorica e Experimental, UFRN, Natal, Brazil
nc	California Integrated Seismic Network: Northern California Seismic System (UC Berkeley, USGS Menlo Park, and Partners)
ndi	India Meteorological Department, New Delhi
ne	New England Seismic Network
ned	Delaware Geological Survey, Newark
ners	GSRAS, Northeastern Regional Seismological Center, Magadan, Russia
ngy	RCSVDM, Graduate School of Environmental Studies, Nagoya Univ., Japan
